equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rbo_50_equity_convex,26076.73519999988,160.76735199999882,-72.10252601779091,rema_50100150__rbo_50,56.0,rema_50100150__rbo_50
rema_50100150__rbo_50_equity_concave,25009.42319999989,150.0942319999989,-81.90142353630048,rema_50100150__rbo_50,56.0,rema_50100150__rbo_50
rbo_50__rtt_5020_equity_convex,24341.840399999975,143.41840399999975,-83.08464995252218,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_convex,24341.840399999975,143.41840399999975,-83.08464995252218,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rsma_50100150__rbo_50_equity_convex,24136.78339999988,141.36783399999882,-69.74151440561403,rsma_50100150__rbo_50,54.0,rsma_50100150__rbo_50
rema_50100150__rbo_100_equity_convex,23326.050999999887,133.26050999999887,-65.67164970705976,rema_50100150__rbo_100,46.0,rema_50100150__rbo_100
rema_50100150__rbo_100_equity_concave,23196.63549999989,131.96635499999888,-65.47561389839223,rema_50100150__rbo_100,46.0,rema_50100150__rbo_100
rbo_50__rtt_5020_equity_concave,22810.203699999984,128.10203699999985,-83.08464995252218,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_concave,22810.203699999984,128.10203699999985,-83.08464995252218,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rsma_50100150__rbo_50_equity_concave,22453.57729999989,124.53577299999891,-79.34036084015753,rsma_50100150__rbo_50,54.0,rsma_50100150__rbo_50
rbo_50__rbo_100_equity_concave,22110.428199999962,121.10428199999963,-67.1325887344016,rbo_50__rbo_100,17.0,rbo_50__rbo_100
rbo_20__rtt_5020_equity_convex,21546.133800000014,115.46133800000015,-70.36599597407063,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020
rbo_50__rbo_100_equity_convex,21470.69669999995,114.70696699999951,-62.69990640138307,rbo_50__rbo_100,17.0,rbo_50__rbo_100
rbo_50__rema_50100150_equity_concave,20875.6357999999,108.75635799999901,-76.12547848263887,rbo_50__rema_50100150,50.0,rbo_50__rema_50100150
rema_50100150__rtt_5020_equity_convex,20764.915500000014,107.64915500000014,-73.73892617160894,rema_50100150__rtt_5020,41.0,rema_50100150__rtt_5020
rema_50100150__rtt_5020_equity_concave,20582.58600000001,105.82586000000012,-84.5796053989964,rema_50100150__rtt_5020,41.0,rema_50100150__rtt_5020
rbo_50__rema_50100150_equity_convex,20300.02539999993,103.00025399999927,-63.447971800781744,rbo_50__rema_50100150,50.0,rbo_50__rema_50100150
rbo_20__rtt_5020_equity_concave,20191.350999999955,101.91350999999953,-79.24185874909936,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020
